commit_id,project,fix_date,buggy,fix,date,gap,target,HV,TE,DD,DD_HV,MDNL,NB,EC,NOP,NOGV,NOMT,II
4282f7d01c91575a552f99c5c698fc145d4fc9c4,hive,2011-12-07 01:29:06,True,False,2008-09-12 09:07:39,1180.0,done,629.6860629904995,4.815636083680335,16.0,0.025409487267374062,0.0,0.0,0.3333333333333333,1.0,0.4166666666666667,23.0,0.6976744186046512
dda8b4518e626838d3f0273fae62cc1ac59d6057,hive,,False,False,2008-09-20 08:43:37,,done,1655.0086103808496,5.531482630019865,46.0,0.027794417328991725,1.0,0.0,0.8888888888888888,1.0,0.23076923076923078,20.0,0.7464788732394366
81d320b946225da0a8ec9993be11c1be5c0b2908,hive,2010-10-29 21:35:20,True,False,2008-11-24 00:41:49,704.0,done,1161.8406188823321,5.417514024513533,41.5,0.03739694591478788,1.0,0.5,0.7869047619047619,5.5,0.18803418803418803,27.0,0.6512115563839702
ae7f9b0712c72bd54212a1859d83712d236e9873,hive,,False,False,2008-12-09 05:11:59,,done,371.1069622245717,4.586776551577854,15.0,0.04048953462241532,0.0,0.0,0.6458333333333333,0.0,0.6,16.5,1.0
4737a7ebb00abb2ce321f4a548ed105cbd4ba2b7,hive,,False,False,2008-12-09 07:21:25,,done,690.7319494446486,5.0474352384174725,24.0,0.033900112783748784,0.0,0.0,0.8421052631578947,0.5,0.40625,17.0,0.807843137254902
9691a93c647d414b863990f44d82408755fae12c,hive,,False,False,2008-12-10 07:48:35,,done,2732.7594377992796,5.213304957021986,86.0,0.03147002213603431,1.0,10.0,0.7368421052631579,3.0,0.375,26.0,0.671875
5b2188c002dd6804566d505021c8b825ed4989fe,hive,2011-07-15 04:43:48,True,False,2008-12-11 07:37:14,945.0,done,1409.981482737734,4.8512558131479215,40.666666666666664,0.034417132054920176,1.3333333333333333,0.3333333333333333,0.7730352303523036,1.0,0.1111111111111111,18.333333333333332,0.8017857142857143
f62cbb750af9c8b837f9887b01ffc0f4f2f7e925,hive,2016-03-15 15:41:41,True,False,2008-12-13 12:05:06,2649.0,done,2055.627794562989,5.160915211837912,66.0,0.029323737698695305,0.0,0.0,0.5018796992481203,2.0,0.23157894736842105,22.5,0.8625176803394625
672e761169ef47e2b45450afec2dc95dc64d2c0a,hive,,False,False,2008-12-13 12:09:50,,done,1489.8647506778866,5.461178165974616,53.0,0.03557369887158218,2.0,0.0,0.9130434782608695,1.0,0.21212121212121213,20.0,0.75
7f2405ba73737a913e0647010b7b04098abb326e,hive,,False,False,2008-12-17 07:59:59,,done,881.2210539372575,5.392344049618607,37.0,0.04198719473926049,1.0,1.0,0.9090909090909091,3.0,0.16666666666666666,23.0,0.7441860465116279
879d51ca751f248f97b74e21ead110a3470afae0,hive,2010-03-29 23:43:18,True,False,2008-12-17 19:35:44,467.0,done,1151.846409680018,4.7760556964957495,37.35294117647059,0.04518374335673717,0.6470588235294118,0.17647058823529413,0.5475713908574447,1.9411764705882353,0.3663843246736196,25.352941176470587,0.7822361874531228
9bed93f2bd6fb3fddcbe35afc14df2124ad7ba80,hive,,False,False,2008-12-31 09:52:04,,done,1331.6518606931074,5.422817158356905,41.6,0.03088421502045315,0.8,0.2,0.8620467836257311,1.4,0.3329629629629629,28.0,0.676377973591596
4f6226f8cedae8812e30d6b8624307e452685bd1,hive,,False,False,2009-01-13 11:56:32,,done,2474.005195057791,5.523988902382864,92.0,0.037186664031176764,2.0,0.0,0.7857142857142857,4.0,0.20588235294117646,43.0,0.6666666666666666
7559d8999d4e76d881ad64c1b181a9bc1c94a365,hive,,False,False,2009-01-13 13:03:06,,done,555.4086945462124,4.979207820879585,17.0,0.03060809124331331,0.0,0.0,0.9090909090909091,2.0,0.09090909090909091,24.0,0.7692307692307693
94e9d8f3a4336a7b626cbcd730e4d2046f131196,hive,,False,False,2009-01-17 07:45:38,,done,626.1391936636121,4.838204388977999,23.5,0.03888768364845602,0.0,0.0,0.9166666666666667,1.0,0.4356060606060606,22.5,0.8
