commit_id,nuc,arexp,ent,ns,age,asexp,la,ld,target
0,0.0,0.0,5.07491923930633,1,0.0,0.0,2295,0,False
1,0.0,2.0,2.87545305413773,1,0.0,0.0,147,46,False
2,0.4615384615384621,3.0,3.07452769670625,1,0.0,1.0,295,114,True
3,0.0,4.0,0.182605876639123,3,0.0,0.0,170,2,False
4,1.6,5.0,1.78639131261626,1,0.0,2.0,103,13,False
5,4.0,7.0,0.0,1,0.0,4.0,24,19,False
6,0.5,8.0,2.14882826301868,2,0.0,0.24609375,105,51,False
7,0.666666666666667,0.0,1.8225859933410504,1,0.0,0.0,477,24,True
8,3.0,9.0,1.27829115700163,1,0.0,6.0,58,0,False
9,1.125,1.0,2.23217606130688,1,0.0,1.0,114,49,False
10,1.85714285714286,2.0,2.35467096095605,1,0.0,2.0,108,34,False
11,0.0,3.0,0.0,1,0.0,3.0,26,0,False
12,4.0,10.0,0.0,1,0.0,7.0,1,1,False
13,0.285714285714286,11.0,2.33408497062509,1,0.0,2.0,302,13,False
14,0.7222222222222221,4.0,3.35564078687762,2,0.0,0.9375,174,66,False
15,2.75,5.0,1.79054548465206,1,0.0,5.0,172,4,False
16,8.0,6.0,0.0,1,0.0,6.0,8,2,False
17,2.44444444444444,7.0,2.3439370361382204,3,0.0,0.499771376314586,337,18,False
18,2.3076923076923097,12.0,3.2659806239854,2,0.0,0.251708984375,343,94,False
19,3.2,13.0,1.94387429826835,2,0.0,0.251953125,85,11,False
20,3.0,14.0,0.0,1,0.0,5.0,7,3,False
21,4.0,15.0,0.998635964158572,1,0.0,6.0,15,8,False
22,2.7,16.0,2.91539052655854,1,0.0,10.0,346,25,False
23,3.63636363636364,8.0,2.70279554106602,2,0.0,1.02734375,199,108,False
24,1.0,1.0,0.0,1,0.0,1.0,13,0,False
25,3.3,9.0,2.53571655400829,2,0.0,1.03125,23,44,False
26,3.6666666666666696,10.0,1.4056390622295702,1,0.0,10.0,13,3,False
27,0.272727272727273,11.0,3.02702325040436,1,0.0,11.0,497,1,False
28,1.5,2.0,1.0,1,0.0,2.0,24,0,False
29,2.17391304347826,17.0,3.7303487037182497,2,0.0,0.252128601074219,298,54,False
30,12.0,18.0,0.0,1,0.0,12.0,5,5,False
31,2.8780487804877994,19.0,4.992216606849532,2,0.024390243902439,0.252138137817383,165,111,False
32,0.0,20.0,0.0,1,0.0,14.0,76,0,False
33,2.77777777777778,21.0,3.57773438710984,2,0.0,0.252140522003174,393,180,False
34,3.5,22.0,0.986126084630238,1,0.0,16.0,111,84,False
35,1.7,23.0,2.71336852154546,1,0.1,17.0,60,62,False
36,0.4,12.0,1.90872078746167,1,0.0,12.0,26,24,False
37,2.5625,24.0,3.34626537957819,2,0.0,0.252141177654266,250,7,False
38,2.77777777777778,25.0,2.77745521246297,1,0.0,19.0,292,28,False
39,4.33333333333333,13.0,2.3332062193464904,1,0.0,13.0,9,11,False
40,4.28571428571429,14.0,1.53756902591199,2,0.0,1.03411865234375,298,162,True
41,3.8,27.0,2.38419702256787,2,0.0,0.252141259610653,75,10,False
42,0.0,28.0,1.48945887066843,1,0.0,22.0,450,0,False
43,3.2631578947368403,29.0,3.77648730315906,1,0.0,23.0,700,67,False
44,1.55,30.0,3.67924248094536,3,0.05,0.0556072000206732,633,84,True
45,3.3333333333333304,31.0,1.54858060652285,1,0.0,25.0,8,5,False
46,0.333333333333333,18.0,3.02351846363137,1,0.0,4.0,409,18,False
47,2.9,33.0,2.55858271356932,1,0.0,27.0,189,61,False
48,14.0,34.0,0.0,1,0.0,28.0,20,9,False
49,7.0,35.0,1.76018754729668,1,0.0,29.0,78,14,False
50,0.0625,36.0,4.6151713102473,2,0.0625,0.252141271237633,28,34,False
51,0.0,37.0,0.991076059838222,2,0.0,0.252141271252185,6,3,False
