commit_id,nuc,arexp,ent,ndev,age,asexp,la,ld,target
0,1.0,0.0,1.3918107537663,0.25,6.0,0.0,38,11,False
1,1.0,2.0,0.0,1.0,9.0,0.0,7,1,True
2,0.142857142857143,5.0,1.6216143276822002,0.142857142857143,2.0,2.0,1523,11,True
3,2.4,6.0,1.55458851667326,0.2,0.9,0.1234567901234569,6697,1906,True
4,0.0,7.0,4.94378278736862,0.0,0.0,1.0,3725,0,True
5,0.916666666666667,0.0,1.9005118262953304,0.166666666666667,0.0,0.0,773,1,True
6,1.0,9.0,0.0,1.0,16.0,0.0,11,0,False
7,1.32258064516129,1.0,3.3161728861327004,0.0967741935483871,0.0,1.0,776,23,True
8,2.05,17.0,3.06830685514395,0.2,5.25,0.6263008260284549,153,56,True
9,4.0,19.0,1.4307567315061998,0.75,6.0,0.329410805694351,24,3,False
10,2.81818181818182,23.0,1.26334429497345,0.272727272727273,4.36363636363636,0.7677071094512941,2237,46,True
11,5.75,12.0,2.7828951422314705,0.25,16.0,0.6480969190597529,332,163,True
12,0.0,13.0,0.0,0.0,0.0,11.0,52,0,True
13,12.5,16.0,0.0235315292618174,1.5,10.0,0.9334716796875,468,399,True
14,7.33333333333333,17.0,1.48365916439796,1.0,64.0,0.566322326660156,10,7,False
15,1.83050847457627,18.0,3.95416037566764,0.0677966101694915,18.8813559322034,0.3478699758054009,780,4138,True
16,13.0,20.0,0.91829583405449,1.0,1.5,0.933496475219727,4,2,False
17,3.22222222222222,22.0,2.01193314421351,0.222222222222222,6.0,0.562425374984741,266,149,False
18,3.375,24.0,2.70547697606376,0.25,0.0,0.93349814414978,470,0,False
19,9.6,25.0,1.8073549220576,0.6,0.0,0.933498203754425,14,0,False
20,6.83333333333333,27.0,1.48101968586579,0.5,16.0,0.950465238117713,24,16,True
21,15.333333333333302,33.0,1.3251318452515402,1.0,6.0,0.566335670067929,31,3,True
22,9.0,34.0,1.18230379363455,0.5,0.75,0.933498245489318,273,1,True
23,19.5,35.0,0.970950594454669,1.5,16.0,0.933498245547526,4,1,False
24,6.4,37.0,1.49161390144531,0.3,7.3,0.9334982455839048,705,103,True
25,12.75,38.0,0.955309520641548,0.75,11.0,0.343626813058171,130,1,True
26,1.0,39.0,1.08488402927661,0.333333333333333,23.3333333333333,4.0,63,117,False
27,4.96551724137931,41.0,5.76340395952696,0.0344827586206897,16.7586206896552,0.8023164627548249,1567,1001,True
28,13.333333333333302,42.0,0.987299692294846,0.5,7.5,0.468990656116563,264,13,True
29,12.8,51.0,1.79430004971887,0.6,17.8,0.933498245594688,67,142,False
30,13.8,52.0,1.79430004971887,0.6,0.0,0.933498245594688,142,67,False
31,10.375,53.0,2.63721352501356,0.375,23.25,0.8024688811156541,229,160,False
32,0.0,55.0,1.72536257869621,0.0,0.0,37.0,451,0,True
33,22.6666666666667,60.0,0.7167256591148791,1.0,20.0,0.9334982455946892,9,20,False
34,12.4,61.0,1.59368630752653,0.4,19.0,0.9334982455946892,61,10,True
35,12.4285714285714,24.0,2.49829658893032,0.5714285714285711,31.4285714285714,0.3791580482888221,12,9,False
36,22.0,26.0,1.06538474072384,0.666666666666667,5.33333333333333,0.7677072882652279,169,159,True
37,5.6,27.0,2.79676080181888,0.2,1.8,0.313785562621357,8022,4,True
