commit_id,project,buggy,date,repo,gap,LA,LD,NF,ND,NS,Entropy,NDEV,AGE,NUC,EXP,REXP,SEXP,target,LT,fix_date,fix,HV,TE,DD,DD_HV,MDNL,NB,EC,NOP,NOGV,NOMT,II
62f30afabae369ce4a81e03457ee5999c59b9fb0,flink,False,2010-12-18 00:07:10,flink,,28,19,4,4,1,1.71107740838145,0.25,0.0,2.0,4,4.0,0.0,done,1209.0,,False,614.3374596590115,4.805557965374261,24.333333333333332,0.0371813965689448,0.0,0.0,0.5730769230769232,1.0,0.1025641025641025,19.0,0.639453357100416
4cdb77107316f9ece891a9b5781ecf4c10fcb041,flink,False,2010-12-23 02:37:07,flink,,6,5,1,1,1,0.0,1.0,5.0,2.0,0,0.0,0.0,done,351.0,,False,11.60964047443681,3.773557262275185,1.0,0.0861353116146786,0.0,0.0,0.0,1.0,0.0,8.0,0.1875
e5a3a59b33d4d5877588e159db2f5bcea6bad7f4,flink,False,2010-12-29 05:12:45,flink,,63,13,5,5,2,1.13187741221888,0.2,10.4,2.4,14,14.0,0.07421875,done,318.0,,False,1981.15205927041,5.349443070885938,61.0,0.03323015973443,0.0,0.0,0.9455128205128204,1.5,0.3272727272727272,20.0,0.5505952380952381
fcf2afebfb123527f2a72be2392efb35c45ceb2a,flink,False,2010-12-29 07:00:14,flink,,120,110,25,8,1,3.51826624010137,0.08,11.16,2.28,15,15.0,10.0,done,330.0,,False,29.17690854519953,4.020773500841511,2.75,0.1270593858796287,0.0,0.0,0.25,1.0,0.5,12.5,0.3980429292929293
816369425177cedc696f93b6daeedc31e601dd52,flink,False,2011-01-06 04:57:38,flink,,28,19,4,4,1,1.71107740838145,0.25,0.0,2.0,4,4.0,0.0,done,1209.0,,False,614.3374596590115,4.805557965374261,24.333333333333332,0.0371813965689448,0.0,0.0,0.5730769230769232,1.0,0.1025641025641025,19.0,0.639453357100416
5cf06bdfb63382cef07b26db0a63045e0e3004de,flink,False,2011-01-06 04:57:46,flink,,6,5,1,1,1,0.0,1.0,5.0,2.0,0,0.0,0.0,done,351.0,,False,11.60964047443681,3.773557262275185,1.0,0.0861353116146786,0.0,0.0,0.0,1.0,0.0,8.0,0.1875
03ce1925cde3637bf51209da8d0a9dbf9fbb4eab,flink,False,2011-01-06 22:02:56,flink,,106,55,1,1,1,0.0,1.0,20.0,2.0,0,0.0,0.0,done,227.0,,False,1585.6707253706743,5.2618444436335645,59.0,0.037208229335386,0.0,0.0,0.9285714285714286,1.0,0.1111111111111111,28.0,0.6753246753246753
78cee55f0fc0c43885fc2254e2b14939e17224ee,flink,False,2011-01-08 00:44:48,flink,,2,2,1,1,1,0.0,2.0,0.0,3.0,4,4.0,3.0,done,387.0,,False,1665.9954278908665,5.6613695832589865,69.0,0.0414166802890649,2.0,0.0,0.6956521739130435,0.0,0.2142857142857142,32.0,0.627906976744186
ad802effff6a33ee7f83bb50a1099eae3c697956,flink,False,2011-01-08 02:23:31,flink,,28,57,5,4,1,1.1244266622536798,0.2,21.0,2.0,9,9.0,7.0,done,3542.0,,False,584.1196963450386,4.8391190460179905,21.3,0.0363948883442029,1.1,0.0,0.6256083771301162,1.3,0.2556818181818182,21.2,0.5391688399987191
058f5ec785c29a580216c12faab9bd7f320efdf2,flink,False,2011-01-08 03:09:29,flink,,0,30,1,1,1,0.0,1.0,21.0,2.0,11,11.0,9.0,done,1076.0,,False,7424.062536733657,5.1586848907447,157.0,0.0230798618810773,1.0,0.0,0.8350774748824135,0.0,0.2467044134727061,22.25,0.6975403225806451
