commit_id,project,fix_date,buggy,fix,date,gap,target
a322a829a586cf03685152f06cc7025d66062202,groovy,,False,False,2003-09-11 23:54:46,,yes
8169b159895f5f727287f6dff351e61569d03f48,groovy,,False,False,2003-09-11 23:55:37,,no
a93ff66772451264ef054ed19e98448d3f01953b,groovy,,False,False,2003-09-11 23:58:05,,yes
fae44a3dbc26273587a40250d4fa94ff8b2c22a9,groovy,,False,False,2003-09-11 23:59:22,,yes
87578c39d8d55b8eab63b497391eed80b50120f4,groovy,,False,False,2003-09-12 00:03:45,,no
b9a41b6d1eb59897187c91fbb45526ef347fdeae,groovy,,False,False,2003-09-12 00:06:24,,no
e7619d322d9d735e947756cf5c87917e1e7921b2,groovy,,False,False,2003-09-12 00:12:03,,no
82661774a6c5e65d33ab2e7f3c830026c0556f4d,groovy,,False,False,2003-09-12 00:35:29,,no
1b3f8b9f8a7432daa6f9b49f4a703fa1097e96c4,groovy,,False,False,2003-09-12 00:43:56,,yes
8b51c36c2360acfbbe7b2b572121f6d447b82a07,groovy,,False,False,2003-09-12 01:01:27,,yes
6ba7af92409900eb55e0dd46c9b71ea535357feb,groovy,,False,False,2003-09-12 01:07:46,,yes
f9687e8b03815eb10e960906263f058524e5b880,groovy,,False,False,2003-09-12 01:17:37,,no
422e8974e233d8e687d9be6bc5f75743478980be,groovy,,False,False,2003-09-12 01:35:38,,no
192b631e7be302ecde822546ba70a9853ddbda01,groovy,,False,False,2003-09-12 01:37:42,,yes
192543f43bf728e3ed887744fa0fcaf33dc460ed,groovy,,False,False,2003-09-12 01:39:12,,yes
bbadbfd40824d8491df547a8b20f790830ee94a7,groovy,,False,False,2003-09-12 01:45:19,,yes
a6ee72a353768d98a43c2f0bd3ac3b1546414b91,groovy,,False,False,2003-09-12 01:48:47,,no
af40753aee0a0369706de26c0ab8dd5c7bd0b95c,groovy,,False,False,2003-09-12 01:57:54,,no
535bf948c749b427e8a1b0e87f4af2e80165fe60,groovy,,False,False,2003-09-12 03:01:39,,no
9d244e987eb3611331b3cbebb1e936ae5e70862e,groovy,,False,False,2003-09-12 03:17:37,,yes
d686ebbc47931e3063ce7202ade17327f12fb5d8,groovy,,False,False,2003-09-12 03:54:09,,no
8dcc001e4e0cdc059daa0fd2e1ebcc1bd30bf222,groovy,,False,False,2003-09-12 04:05:46,,no
e71542f9a8ed01a1ef4e21a53482a0fd2d54b62f,groovy,,False,False,2003-09-12 04:33:59,,no
45504114aa13670726bd204e29c3e5a8bdc356f4,groovy,,False,False,2003-09-12 05:04:11,,yes
65f8c34b408ec4ca6ce16f35dfd47dbb100f978e,groovy,,False,False,2003-09-12 05:12:09,,yes
51286f1559f59473a50379eea8ac4e4fac34f0f1,groovy,,False,False,2003-09-12 05:24:11,,no
698df9f5b0816e05bbf97a390428f8ef94e0cdbf,groovy,,False,False,2003-09-12 05:51:56,,no
eb885b0bdbf61bb0a8f37bc4dd4248c4beb9d2e3,groovy,,False,False,2003-09-12 05:58:07,,yes
f604e00970231c359771075b86642ea275c5bf1f,groovy,,False,False,2003-09-12 07:41:35,,no
d1963f1be79aeb0dca8aa012659f725e1ffc96f9,groovy,,False,False,2003-09-12 16:46:13,,no
4fb3f2922e3aef0c494c315241826a7c9cb8e371,groovy,,False,False,2003-09-12 19:02:58,,no
e2c6289ab695e2b52dc9dd67338a05142219fed3,groovy,,False,False,2003-09-12 19:15:36,,no
76636a8b0f9ffc07cbb5dc758ed30d413a084c76,groovy,,False,False,2003-09-12 19:52:32,,no
f7ff091a963c69a24f554581e2d3444cee0b3877,groovy,,False,False,2003-09-13 02:58:45,,no
34d9b8096cbc92714295ce6c681bc8082934a399,groovy,,False,False,2003-09-13 14:36:19,,no
3bf1171e37bb8e093687f4aa5cbd2e8009c1adaa,groovy,,False,False,2003-09-13 15:36:08,,no
198bddc586a97a05e26c146541bf46b7aade1730,groovy,,False,False,2003-09-13 15:45:27,,no
797fdd674036b65151138b10aecb475c8b26a9f5,groovy,,False,False,2003-09-13 16:53:04,,no
ea53eef5ce6a983fc8d35ccfe4bfeff0e6d9c65c,groovy,,False,False,2003-09-13 22:07:47,,no
44ef41e36b833081ab4a689170a4871ccabe7aaa,groovy,,False,False,2003-09-13 22:10:13,,no
b8cd37938ed7a1779294f8f5da01b4e4675e9f9a,groovy,,False,False,2003-09-13 22:34:21,,no
