commit_id,project,fix_date,buggy,fix,date,gap,target
62f30afabae369ce4a81e03457ee5999c59b9fb0,flink,,False,False,2010-12-18 00:07:10,,yes
944511cfc3ea634b0e9f6cabcf3deb630d25ae8e,flink,,False,False,2010-12-21 01:26:02,,no
1dfad89e70b40f49ea724bf274ac2561d033a7d3,flink,,False,False,2010-12-21 02:01:14,,no
717a37751aa46a8fcd8b46ec5a0c92d7ac43198d,flink,,False,False,2010-12-21 09:02:39,,no
7ddfb16a047c6de2e8a7f7be6ac43bf66e248e39,flink,,False,False,2010-12-21 09:04:59,,no
4cdb77107316f9ece891a9b5781ecf4c10fcb041,flink,,False,False,2010-12-23 02:37:07,,yes
ffbc7e177bca0a84d892514b138d6d208a87f64f,flink,,False,False,2010-12-23 09:44:49,,no
54ee5fa3d278fbfd4ee6850b6e20d04d0d10aea5,flink,,False,False,2010-12-23 20:18:11,,no
e5a3a59b33d4d5877588e159db2f5bcea6bad7f4,flink,,False,False,2010-12-29 05:12:45,,yes
fcf2afebfb123527f2a72be2392efb35c45ceb2a,flink,,False,False,2010-12-29 07:00:14,,yes
816369425177cedc696f93b6daeedc31e601dd52,flink,,False,False,2011-01-06 04:57:38,,yes
b843f1851c334bd6019fe50a29dd6e460183f69d,flink,,False,False,2011-01-06 04:57:42,,no
5cf06bdfb63382cef07b26db0a63045e0e3004de,flink,,False,False,2011-01-06 04:57:46,,yes
03ce1925cde3637bf51209da8d0a9dbf9fbb4eab,flink,,False,False,2011-01-06 22:02:56,,yes
290c6a92260ed47abf88f7c701b22fa25b633cbf,flink,,False,False,2011-01-06 23:52:51,,no
3d19b6c24b60bdb8147d1b9f04184cb56a5e74d7,flink,,False,False,2011-01-07 00:15:17,,no
d224c48e136ef290dbf40dee8e29b21032922a31,flink,,False,False,2011-01-07 00:21:58,,no
6f52786e44bffd08973fc8a3a45e4a176f53ca41,flink,,False,False,2011-01-07 22:44:00,,no
78cee55f0fc0c43885fc2254e2b14939e17224ee,flink,,False,False,2011-01-08 00:44:48,,yes
6b360ebff0da7eaf5551bd6c0542a71b95efacf0,flink,,False,False,2011-01-08 01:41:09,,no
0558b39878360dade9baf0d3bdc2256ee38e396a,flink,,False,False,2011-01-08 01:49:24,,no
ade23c2c463f248e6cdf30e80643abe3bb332eb3,flink,,False,False,2011-01-08 02:06:00,,no
ad802effff6a33ee7f83bb50a1099eae3c697956,flink,,False,False,2011-01-08 02:23:31,,yes
19b933c7552f94cebb57bcd82e69a43cec9fc803,flink,,False,False,2011-01-08 02:44:06,,no
058f5ec785c29a580216c12faab9bd7f320efdf2,flink,,False,False,2011-01-08 03:09:29,,yes
b5e21190354a1f5a8438902f0ba36d4365c28c5a,flink,,False,False,2011-01-08 03:11:56,,yes
33eda2a6ab654e501c149adf8810cef83e3491e7,flink,,False,False,2011-01-08 04:32:35,,no
2f8a5a4df0e2ffbd477909ace0f4c57e4f2fe2d3,flink,,False,False,2011-01-09 00:38:26,,no
40bbce2e97083ad4b766d783281b02228c476035,flink,,False,False,2011-01-09 02:50:50,,no
5c46e10e5c78a697f054d85d48b066c3f8fa8911,flink,,False,False,2011-01-09 03:03:51,,no
ad3a3d6f68887a6a9ff4d7ecb833f5e4d982c4c6,flink,,False,False,2011-01-09 04:47:18,,no
a9cd8d18f8a6b67a39212138f85d93ef6d79aefa,flink,,False,False,2011-01-10 21:58:28,,no
c32ad03289a65039dc694861fd456f5815ec9e71,flink,,False,False,2011-01-10 22:00:55,,yes
991844b95a54903c4b8d07dad219b7e34cf9115f,flink,,False,False,2011-01-10 22:05:27,,yes
94afc4b3c4d19404fb03da7a8846cf4543197f6f,flink,,False,False,2011-01-10 22:10:37,,no
af9289d75b047b38f2b4c53f785940c37b431d01,flink,,False,False,2011-01-11 02:09:57,,no
8164cf97af1888f9677975f7086b02c51f6ae253,flink,,False,False,2011-01-11 02:13:14,,no
d377efc3b3ff0dc792e694c00289ec80340deac0,flink,,False,False,2011-01-11 02:17:38,,no
