commit_id,LA/LT,LD/LT,LT/NF,NUC/NF,NS,NF,Entropy,FIX,NDEV,AGE,EXP,SEXP,buggy
925c425a73910bab9e40bc044329136379adadaa,0.009184845005740528,0.009184845005740528,435.5,0.5,1,2,0.5435644431995961,False,0.5,9.0,4,4.0,False
e655cad3c57b98be9ccd5645a712ff5a57dc0480,0.011060507482108002,0.018867924528301886,384.25,0.1875,1,4,0.7489530148035791,False,0.25,16.5,7,7.0,False
18a282789c4723e3c2a41960174ea55594e43d7a,0.0030959752321981426,0.0030959752321981426,323.0,1.0,1,1,0.0,False,1.0,9.0,5,5.0,False
11d2d6fd92acf9abc762c41e0f7b91c5acc89f4f,0.004037685060565276,0.004037685060565276,247.66666666666666,0.4444444444444433,1,3,1.58496250072116,False,0.333333333333333,4.0,4,4.0,False
bbc3fdc9973cf02256539a794b617c9b0da5b81f,0.0057692307692307696,0.0057692307692307696,520.0,1.0,1,1,0.0,False,1.0,3.0,2,2.0,False
1061ac279cd4785951219c1c1631c4156de913fc,0.01746031746031746,0.015873015873015872,210.0,0.4444444444444433,1,3,1.20600269024337,False,0.666666666666667,18.6666666666667,15,11.0,True
35ccdb8896e6d835b89ba604c595e2e760f090cb,0.0,0.004672897196261682,214.0,3.0,1,1,0.0,False,2.0,0.0,13,13.0,False
a6bc7d54791e73b06083996ab57fdba9340ae1aa,0.09086336965632859,0.134953897736798,248.54166666666666,0.20486111111111124,1,24,3.1094653294733194,False,0.166666666666667,7.33333333333333,89,82.0,True
8a22ee2a08d3d00a2085459c5f1941648a12ec98,0.02952029520295203,0.016236162361623615,225.83333333333334,0.3611111111111116,1,6,2.17829387149189,False,0.166666666666667,44.0,5,4.0,False
a79aaf38e4842f419269bdebf3bd1409bac81f7e,0.02204724409448819,0.0031496062992125984,211.66666666666666,5.111111111111101,2,3,1.47721700146248,False,1.0,0.0,67,0.0078109206006038,False
128807c962823b32bfd3f2872de1e3714b1e92f4,0.1267605633802817,0.11619718309859155,142.0,13.5,2,2,0.258018668664815,False,1.5,13.5,23,0.7480614185333249,False
950586dc900653ecd2521291c76ba01084c7d2da,0.39655172413793105,0.034482758620689655,58.0,5.3125,2,4,1.22866806358482,False,0.75,17.0,46,0.7480616569518471,True
2e135ab9287f8babeeeddcfb7cd362f4d2b4278f,0.16189290161892902,0.0062266500622665,160.6,3.16,2,5,1.19408268861589,False,0.6,32.8,77,0.0078109206006038,True
05ae54b104502bbaac97d0bb1d09616646fed6c3,0.005714285714285714,0.005714285714285714,175.0,2.0,1,1,0.0,False,1.0,28.0,96,0.0,False
