,nuc,aexp,nd,ns,age,asexp,la,ld,target
0,1.5,0.0,5.0,4.0,0.67,0.0,27.0,21.0,True
1,0.83,31.0,4.0,1.0,3.0,23.0,272.0,21.0,True
2,1.0,4.0,2.0,2.0,3.4,0.44,985.0,175.0,True
3,0.21,61.0,4.0,1.0,3.21,3.0,32.0,24.0,True
4,0.23,63.0,13.0,1.0,3.19,2.0,111.0,110.0,True
5,0.31,66.0,4.0,1.0,1.23,6.0,21.0,21.0,True
6,0.09,81.0,4.0,1.0,0.34,2.0,162.0,121.0,True
7,1.71,91.0,3.0,1.0,8.86,0.0,32.0,38.0,True
8,1.0,44.0,3.0,1.0,0.0,30.0,84.0,23.0,True
9,1.0,46.0,3.0,1.0,0.0,32.0,53.0,27.0,True
10,2.1,106.0,4.0,1.0,0.4,28.0,71.0,54.0,True
11,1.5,113.0,6.0,1.0,0.75,31.0,77.0,86.0,True
12,1.36,136.0,5.0,1.0,3.82,49.0,80.0,0.0,True
13,2.0,67.0,5.0,1.0,5.1,49.0,6.0,117.0,True
14,0.0,20.0,2.0,2.0,0.0,0.54,1108.0,0.0,True
15,4.8,97.0,4.0,1.0,3.4,63.0,73.0,44.0,True
16,1.92,140.0,7.0,1.0,5.58,53.0,292.0,107.0,True
17,2.0,8.0,3.0,1.0,4.33,5.0,252.0,0.0,True
18,7.14,175.0,3.0,1.0,15.71,114.0,120.0,6.0,True
19,0.88,65.0,3.0,1.0,55.12,3.0,121.0,20.0,True
20,3.71,220.0,3.0,1.0,0.0,138.0,232.0,4.0,True
21,8.1,73.0,3.0,1.0,2.1,63.0,40.0,42.0,True
22,2.67,253.0,3.0,1.0,34.83,164.0,88.0,118.0,True
23,5.38,291.0,8.0,5.0,34.5,0.6,56.0,34.0,True
24,3.68,281.0,8.0,1.0,6.47,183.0,424.0,150.0,True
25,2.0,288.0,4.0,1.0,0.8,187.0,85.0,37.0,True
26,6.36,296.0,6.0,1.0,7.09,192.0,103.0,46.0,True
27,9.33,55.0,3.0,2.0,26.67,0.54,19.0,5.0,True
28,1.25,56.0,3.0,2.0,2.5,0.54,13.0,1.0,True
29,6.6,83.0,5.0,1.0,15.47,72.0,210.0,25.0,True
30,8.75,384.0,4.0,1.0,2.75,189.0,191.0,1.0,True
31,7.1,115.0,8.0,1.0,19.65,104.0,663.0,110.0,True
32,0.8,375.0,6.0,1.0,0.0,3.0,261.0,116.0,True
33,1.56,425.0,5.0,3.0,93.72,0.33,129.0,107.0,True
34,0.0,7.0,3.0,1.0,0.0,0.0,297.0,27.0,True
35,10.8,426.0,4.0,1.0,14.2,217.0,213.0,37.0,True
36,0.8,8.0,4.0,1.0,7.2,1.0,115.0,17.0,True
37,0.0,443.0,11.0,1.0,0.0,4.0,677.0,0.0,True
38,1.42,6.0,9.0,2.0,21.75,0.11,422.0,701.0,True
39,0.0,43.0,3.0,1.0,0.0,0.0,498.0,0.0,True
40,4.38,59.0,4.0,2.0,0.25,0.0,138.0,273.0,True
41,6.5,452.0,11.0,1.0,79.94,293.0,89.0,12.0,True
42,10.2,493.0,4.0,1.0,19.2,318.0,20.0,11.0,True
43,25.67,579.0,3.0,2.0,1.67,0.52,6.0,19.0,True
44,0.0,591.0,4.0,1.0,0.0,0.0,0.0,263.0,False
45,13.35,153.0,5.0,1.0,8.88,136.0,609.0,87.0,True
46,12.29,142.0,4.0,1.0,28.29,45.0,249.0,46.0,True
47,1.36,636.0,6.0,3.0,68.55,0.67,195.0,2.0,True
48,14.73,169.0,4.0,1.0,25.36,151.0,256.0,119.0,True
49,9.8,645.0,15.0,2.0,62.25,0.52,191.0,162.0,True
50,3.62,173.0,5.0,1.0,12.5,154.0,124.0,43.0,True
51,8.75,661.0,2.0,2.0,32.0,0.5,78.0,16.0,True
52,4.5,630.0,4.0,1.0,73.75,22.0,19.0,5.0,True
53,1.83,643.0,5.0,1.0,75.83,3.0,96.0,15.0,True
54,12.09,647.0,2.0,2.0,19.82,1.12,459.0,26.0,True
55,9.68,209.0,10.0,1.0,13.88,186.0,446.0,214.0,True
56,16.5,216.0,6.0,1.0,21.62,193.0,67.0,14.0,True
57,5.91,290.0,5.0,1.0,24.64,266.0,86.0,126.0,True
58,11.58,340.0,9.0,1.0,87.38,315.0,416.0,130.0,True
59,6.69,351.0,7.0,1.0,57.31,326.0,416.0,241.0,True
60,3.56,786.0,7.0,1.0,149.11,499.0,40.0,31.0,True
61,13.24,812.0,14.0,2.0,116.38,0.52,335.0,109.0,True
62,15.6,517.0,6.0,1.0,31.87,472.0,478.0,48.0,True
63,13.71,527.0,7.0,1.0,51.0,482.0,236.0,51.0,True
64,25.31,537.0,11.0,1.0,56.31,492.0,351.0,180.0,True
65,16.88,545.0,6.0,1.0,41.0,500.0,191.0,17.0,True
66,15.8,569.0,7.0,1.0,48.3,524.0,92.0,55.0,True
67,45.67,844.0,4.0,2.0,8.17,1.12,179.0,1.0,True
68,27.29,658.0,8.0,1.0,51.93,609.0,85.0,27.0,True
69,17.67,957.0,3.0,3.0,182.56,0.33,114.0,55.0,True
70,4.27,24.0,4.0,1.0,163.73,1.0,203.0,192.0,True
71,11.57,0.0,4.0,1.0,146.71,0.0,141.0,13.0,True
72,20.6,9.0,3.0,2.0,210.8,0.14,124.0,11.0,True
73,16.38,76.0,3.0,2.0,192.12,0.94,364.0,10.0,True
74,8.0,7.0,2.0,2.0,124.5,0.96,25.0,29.0,True
75,71.25,27.0,3.0,2.0,268.5,0.75,117.0,4.0,True
76,27.25,13.0,4.0,1.0,11.5,10.0,14.0,24.0,True
77,3.75,40.0,3.0,1.0,120.5,22.0,166.0,4.0,True
78,41.36,33.0,8.0,2.0,313.18,0.61,49.0,21.0,True
79,11.86,98.0,4.0,1.0,43.43,87.0,41.0,18.0,True
80,11.09,99.0,7.0,1.0,25.27,88.0,271.0,2.0,True
81,10.0,1118.0,5.0,2.0,0.56,0.52,42.0,11.0,True
82,5.5,52.0,2.0,2.0,548.0,0.0,10.0,0.0,True
83,13.11,906.0,7.0,4.0,68.0,0.51,49.0,47.0,True
84,34.67,133.0,5.0,1.0,132.0,117.0,256.0,34.0,True
85,50.31,145.0,7.0,1.0,93.62,129.0,222.0,93.0,True
86,14.57,82.0,3.0,1.0,209.43,52.0,251.0,59.0,True
87,14.75,94.0,4.0,1.0,216.25,2.0,53.0,11.0,True
88,48.71,98.0,6.0,1.0,227.86,61.0,98.0,24.0,True
89,44.12,99.0,5.0,3.0,334.88,0.46,111.0,32.0,True
90,64.33,178.0,3.0,2.0,107.67,0.94,0.0,83.0,False
91,29.0,110.0,4.0,2.0,201.75,0.18,25.0,12.0,True
92,68.5,129.0,4.0,2.0,81.25,0.82,5.0,8.0,True
93,5.57,1134.0,4.0,2.0,63.0,0.52,319.0,43.0,True
94,22.31,130.0,4.0,1.0,202.31,82.0,351.0,65.0,True
95,5.8,245.0,2.0,2.0,0.0,0.94,14.0,14.0,True
96,4.83,150.0,2.0,2.0,305.5,0.11,0.0,101.0,False
97,16.67,155.0,2.0,2.0,167.0,0.57,76.0,8.0,True
98,82.67,254.0,2.0,2.0,73.67,0.0,9.0,5.0,True
99,5.67,162.0,2.0,2.0,10.0,0.64,76.0,2.0,True
100,9.0,163.0,2.0,2.0,0.0,0.64,2.0,2.0,True
101,19.3,268.0,7.0,1.0,101.0,236.0,47.0,31.0,True
102,30.0,200.0,3.0,2.0,277.0,0.07,19.0,11.0,True
103,9.0,292.0,2.0,2.0,87.0,0.94,3.0,5.0,True
104,6.36,210.0,3.0,1.0,4.5,126.0,283.0,3.0,True
105,45.22,359.0,4.0,1.0,13.67,315.0,281.0,162.0,True
106,48.44,33.0,13.0,5.0,328.69,0.01,158.0,62.0,True
107,17.6,282.0,4.0,3.0,0.0,0.39,5.0,10.0,True
108,28.46,378.0,5.0,1.0,40.23,333.0,98.0,28.0,True
109,18.0,298.0,3.0,2.0,61.0,0.57,0.0,149.0,True
110,5.0,321.0,2.0,2.0,37.0,0.07,2.0,2.0,True
111,3.0,340.0,2.0,3.0,248.0,0.01,94.0,42.0,True
112,22.14,407.0,5.0,1.0,85.14,354.0,203.0,13.0,True
113,10.0,347.0,2.0,2.0,145.38,0.14,239.0,9.0,True
114,5.75,352.0,2.0,3.0,20.75,0.04,144.0,79.0,True
115,10.07,433.0,9.0,2.0,286.86,0.94,101.0,57.0,True
