,mean_change,max change,MAXChange/mean,max value,MAX/mean,dtype
CountDeclMethodPrivate,3.64,20.0,5.49,153.0,42.02,int64
CountDeclMethodDefault,3.18,18.0,5.67,55.0,17.32,int64
AvgEssential,1.03,2.0,1.94,6.0,5.82,int64
CountDeclClassVariable,3.59,44.0,12.27,138.0,38.47,int64
CountDeclClassMethod,13.32,386.0,28.99,387.0,29.06,int64
AvgLineComment,1.66,11.0,6.64,21.0,12.67,int64
CountLineComment,25.18,736.0,29.23,1095.0,43.48,int64
CountDeclClass,16.45,392.0,23.83,143.0,8.69,int64
CountDeclMethodProtected,2.16,8.0,3.71,29.0,13.45,int64
CountDeclInstanceVariable,2.86,19.0,6.64,187.0,65.4,int64
RatioCommentToCode,0.23,7.91,34.35,11.0,47.77,float64
AvgLineBlank,1.18,3.0,2.55,11.0,9.34,int64
PercentLackOfCohesion,9.58,100.0,10.43,100.0,10.43,int64
MaxInheritanceTree,1.14,3.0,2.62,9.0,7.88,int64
CountClassDerived,3.42,39.0,11.42,89.0,26.06,int64
CountClassCoupled,4.02,86.0,21.39,179.0,44.51,int64
CountClassBase,1.12,2.0,1.79,8.0,7.17,int64
CountInput_Mean,0.78,15.0,19.2,65.0,83.18,float64
CountInput_Min,2.22,15.0,6.74,65.0,29.23,int64
CountOutput_Mean,0.53,7.0,13.21,23.0,43.41,float64
CountOutput_Min,1.31,5.0,3.81,23.0,17.52,int64
CountPath_Min,71.0,768.0,10.82,260.0,3.66,int64
MaxNesting_Mean,0.18,2.44,13.59,4.0,22.31,float64
MaxNesting_Min,1.17,2.0,1.71,4.0,3.43,int64
OWN_COMMIT,0.72,1.0,1.39,1.0,1.39,float64
MINOR_COMMIT,1.44,3.0,2.08,4.0,2.77,int64
MINOR_LINE,1.27,4.0,3.14,7.0,5.49,int64
MAJOR_LINE,1.79,9.0,5.02,14.0,7.81,int64
