,mean_change,max change,MAXChange/mean,max value,MAX/mean,dtype
CountDeclMethodPrivate,6.79,108.0,15.92,92.0,13.56,int64
CountDeclMethodDefault,4.08,22.0,5.4,50.0,12.26,int64
AvgEssential,1.91,31.0,16.19,17.0,8.88,int64
CountDeclClassVariable,5.56,38.0,6.83,133.0,23.91,int64
CountDeclClassMethod,8.73,112.0,12.83,105.0,12.03,int64
AvgLineComment,1.93,41.0,21.24,25.0,12.95,int64
CountLineComment,21.4,536.0,25.05,745.0,34.82,int64
CountDeclClass,4.54,35.0,7.71,136.0,29.97,int64
CountDeclMethodProtected,4.21,26.0,6.17,27.0,6.41,int64
CountDeclInstanceVariable,4.25,55.0,12.94,120.0,28.24,int64
RatioCommentToCode,0.38,4.75,12.35,10.67,27.75,float64
AvgLineBlank,1.4,6.0,4.29,8.0,5.71,int64
PercentLackOfCohesion,12.57,100.0,7.96,100.0,7.96,int64
MaxInheritanceTree,1.16,6.0,5.16,6.0,5.16,int64
CountClassDerived,4.29,29.0,6.76,81.0,18.88,int64
CountClassCoupled,4.9,113.0,23.07,146.0,29.81,int64
CountClassBase,1.22,5.0,4.11,7.0,5.75,int64
CountInput_Mean,1.3,26.33,20.26,51.0,39.24,float64
CountInput_Min,2.17,26.0,12.0,36.0,16.62,int64
CountOutput_Min,1.62,19.0,11.71,20.0,12.33,int64
CountPath_Min,4.25,53.0,12.47,54.0,12.71,int64
MaxNesting_Mean,0.27,1.92,7.03,3.0,10.96,float64
MaxNesting_Min,1.67,3.0,1.8,3.0,1.8,int64
Added_lines,221.83,5928.0,26.72,5928.0,26.72,int64
OWN_COMMIT,0.54,1.0,1.85,1.0,1.85,float64
MINOR_COMMIT,1.85,3.0,1.62,3.0,1.62,int64
MINOR_LINE,1.23,4.0,3.24,7.0,5.67,int64
MAJOR_LINE,1.48,6.0,4.05,8.0,5.4,int64
