,mean_change,max change,MAXChange/mean,max value,MAX/mean,dtype
CountDeclMethodPrivate,1.51,6.0,3.96,20.0,13.21,int64
CountDeclMethodDefault,1.86,6.0,3.23,117.0,63.0,int64
AvgEssential,1.19,3.0,2.52,8.0,6.72,int64
CountDeclClassVariable,1.3,7.0,5.38,43.0,33.08,int64
CountDeclClassMethod,1.69,5.0,2.96,81.0,47.96,int64
AvgLineComment,1.37,6.0,4.39,24.0,17.58,int64
AvgCyclomaticModified,1.22,5.0,4.08,24.0,19.6,int64
CountLineComment,8.31,104.0,12.52,1598.0,192.3,int64
CountDeclClass,1.62,7.0,4.31,75.0,46.15,int64
CountDeclMethodProtected,1.6,8.0,5.0,35.0,21.88,int64
CountDeclInstanceVariable,1.97,10.0,5.07,99.0,50.22,int64
CountDeclMethodPublic,2.92,20.0,6.85,226.0,77.45,int64
AvgLineBlank,1.26,5.0,3.97,23.0,18.26,int64
MaxInheritanceTree,1.38,3.0,2.17,9.0,6.5,int64
CountClassDerived,17.11,356.0,20.81,3488.0,203.88,int64
CountClassCoupled,1.88,10.0,5.31,110.0,58.41,int64
CountClassBase,1.31,2.0,1.53,6.0,4.59,int64
CountInput_Min,2.51,29.0,11.56,388.0,154.71,int64
CountOutput_Mean,0.47,10.5,22.16,26.0,54.88,float64
CountOutput_Min,2.59,22.0,8.48,26.0,10.02,int64
CountPath_Min,14.0,78.0,5.57,84.0,6.0,int64
MaxNesting_Min,1.33,2.0,1.5,4.0,3.0,int64
OWN_COMMIT,0.69,1.0,1.44,1.0,1.44,float64
MINOR_LINE,1.07,2.0,1.88,7.0,6.56,int64
MAJOR_LINE,1.12,3.0,2.67,12.0,10.69,int64
